charges,separation,voltage1,voltage2,voltage3,voltage4
1,0.002,0.5,0.8,0.8,0.5
2,0.002,1.5,2.0,1.6,1.8
3,0.002,3.0,2.5,2.2,2.5
4,0.002,4.0,3.5,2.5,3.0
5,0.002,4.5,4.0,3.4,3.5
6,0.002,5.9,4.5,3.8,4.5
7,0.002,6.6,5.0,4.0,5.0
8,0.002,7.4,5.5,4.5,5.5
9,0.002,8.4,5.8,5.0,5.8
10,0.002,9.0,6.2,5.5,5.5

1,0.004,3.0,3.0,4.0,3.0
2,0.004,6.0,5.8,4.5,7.0
3,0.004,8.5,8.5,7.0,8.5
4,0.004,12.0,12.0,9.0,8.0
5,0.004,13.0,15.5,12.0,10.0
6,0.004,15.0,18.0,15.0,12.0
7,0.004,17.0,20.0,16.5,15.0
8,0.004,18.0,22.5,18.0,12.0
9,0.004,19.0,25.0,20.0,15.0
10,0.004,20.0,27.0,24.0,16.0
